id;message;sentiment
1;We need to be vaccinated to protect all person around us.;Positive
2;it is a pleasure to see how the govement are working for our help. I thing the vaccination is good for all of us.;Positive
3;Negative ;Negative
4;The most popular vaccine that i know is Moderna and it is work.so get vaccinated;Positive
5;Of course we need to be vaccinated if we want to stop covid;Positive
6;I do not know what to think about vaccines as we are not even sure if they work against all the different forms of covid 19;Neutral
7;This vaccination is not without risk ;Negative
8;no idea;Neutral
9;i am going to inform all the country about the Pfizer vaccine. It is not a good vaccine for all of us. ;Negative
10;i am going to get vaccinated in 5 years. Time to observe the harmful effects on others.;Negative
11;It is more beneficial to get vaccinated early. It saves lives.;Positive
12;I am afraid of the Astra Astrazeneka vaccine because of the controversy. I am not going to vaccinate myself with this one.;Negative
13;Pfizer has Negative effects but everything gets better with time. You have to get vaccinated.;Positive
14;There will certainly be side effects. There has not been enough testing.;Negative
15;Look at those people who are dying. Vaccines save lives.;Positive
16;To stop hearing about the coronavirus, i am going to get vaccinated and encourage others to do so.;Positive
17;I cannot stand the side effects, so I would never get vaccinated.;Negative
18;Vaccination does not protect, nor does not being vaccinated.;Neutral
19;The Vaccin is not stable and has many inconvenients.;Negative
20;Vaccination is good but since we can cure naturally i am not a big supporter;Neutral
21;All vaccines against Covid 19 are savinghuman lives ;Positive
22;The risks I would take by getting vaccinated are greater than the risks I would take by not getting vaccinated. But I understand that these risks vary from person to pperson hence my Neutrality. ;Neutral
23;let us just let everyone be free to vaccinate or not.;Neutral
24;Pfizer, Moderna, BioNtech will kill in the future like the coronavirus.;Negative
25;I am against the corona vaccine because I am not sure that it corresponds to all the variants of the disease;Negative
26;It does not matter if i get vaccinated or not. ;Neutral
27;Joe Biden is excited about vaccination. he is been injected with water. No, I will not be vaccinated.;Negative
28;The vaccine story only helps the pharmaceutical companies to fill their coffers. They do not think about our lives.;Negative
29;I am very suspicious. Maybe vaccines help, maybe they do not.;Neutral
30;Who am I not to get vaccinated when Merkel has already done so?;Positive
31;are you a doctor? stop propagation and go vaccine.;Positive
32;it is a pleasure to save more than one live.Please preserve yourself and do not take any vaccine.;Negative
33;ok! i would think about all covid vaccine and i would take a decision.;Neutral
34;Sides effects of the vaccine are tolerated than the sickness itself ;Positive
35;let us save our life by getting the vaccine ;Positive
36;Corona virus is like others viruses so i go for the vaccine ;Positive
37;Pfizer, no no no. ;Negative
38;I do not want to be vaccinated because the vaccines were made quickly so there was no time to test them on a large scale. Moreover the debate about the side effects is frightening.;Negative
