id;message;sentiment
1;We need to be vaccinated to protect all person around us.;Positive
3;Negative ;Negative
2;it is a pleasure to see how the govement are working for our help. I thing the vaccination is good for all of us.;Positive
6;I do not know what to think about vaccines as we are not even sure if they work against all the different forms of covid 19.;Negative
4;The most popular vaccine that i know is Moderna and it is work.so get vaccinated;Positive
7;This vaccination is not without risk ;Negative
5;Of course we need to be vaccinated if we want to stop covid;Positive
8;no idea, difficult to say if i am going to get my shot.;Negative
11;It is more beneficial to get vaccinated early. It saves lives.;Positive
9;i am going to inform all the country about the Pfizer vaccine. It is not a good vaccine for all of us. ;Negative
13;Pfizer has Negative effects but everything gets better with time. You have to get vaccinated.;Positive
10;i am going to get vaccinated in 5 years. Time to observe the harmful effects on others.;Negative
15;Look at those people who are dying. Vaccines save lives.;Positive
12;I am afraid of the Astra Astrazeneka vaccine because of the controversy. I am not going to vaccinate myself with this one.;Negative
16;To stop hearing about the coronavirus, i am going to get vaccinated and encourage others to do so.;Positive
14;There will certainly be side effects. There has not been enough testing.;Negative
21;All vaccines against Covid 19 are saving human lives ;Positive
17;I  can not stand the side effects, so I would never get vaccinated.;Negative
23;let us just let everyone be free to vaccinate or not.;Positive
18;Vaccination does not protect, nor does not being vaccinated.;Negative
30;Who am I not to get vaccinated when Merkel has already done so?;Positive
19;The Vaccin is not stable and has many inconvenients.;Negative
31;are you a doctor? stop propagation and go vaccine.;Positive
20;Vaccination is good but since we can cure naturally i am not a big supporter.;Negative
33;ok! i would think about all covid vaccine and i would take a decision.;Positive
22;The risks I would take by getting vaccinated are greater than the risks I would take by not getting vaccinated. But I understand that these risks vary from person to pperson hence my Neutrality. ;Negative
34;Sides effects of the vaccine are tolerated than the sickness itself ;Positive
24;Pfizer, Moderna, BioNtech will kill in the future like the coronavirus.;Negative
35;let us save our life by getting the vaccine ;Positive
25;I am against the corona vaccine because I am not sure that it corresponds to all the variants of the disease;Negative
36;Corona virus is like others viruses so i go for the vaccine ;Positive
26;It  does not matter if i get vaccinated or not. ;Negative
39;It should be the same vaccines for all People in the World;Positive
27;Joe Biden is excited about vaccination. he is been injected with water. No, Iwill notbe vaccinated.;Negative
40;Everyone should have the opportunity to get the vaccine. And those who have a highly risked job as firefighters, should be first! ;Positive
28;The vaccine story only helps the pharmaceutical companies to fill their coffers. They do not think about our lives.;Negative
41;Positive because i think everyone on this Earth should contribute. ;Positive
29;I am very suspicious. Maybe vaccines help, maybe they do not.;Negative
44;That is great, just think about the disease and all who dead. The vaccine is good. ;Positive
32;it is a pleasure to save more than one live.Please preserve yourself and do not take any vaccine.;Negative
45;All Vaccines are useful, let us get vaccinated;Positive
37;Pfizer, no no no. ;Negative
49;I congratulate the whole scientific community and the vloggers who are fighting for the promotion and awareness of covid 19 vaccines. It is good to promote.;Positive
38;I do not want to be vaccinated because the vaccines were made quickly so there was no time to test them on a large scale. Moreover the debate about the side effects is frightening.;Negative
50;Covid 19 vaccines are efficient to stop the virus. I will get vaccinated. ;Positive
42;I do not see what difference it will make. We will continue to be confined, believe me, so there is no point in taking them.;Negative
51;I think this is the best solution if you want a normal life after all. COVID-19 is a virus, so I am pretty sure there will never be a drug for it. So a vaccine is our best option. ;Positive
43;The vaccine is a good way to prevent the virus. But in the case of the coronavirus, it is an unfortunate situation, but it is not safe to take the vaccine because of the production time. Normally a vaccine study spends more years of research this one was so fast. I am afraid of the consequences;Negative
52;Vaccination is very important ;Positive
46;I find this vaccination business very suspicious. Because I wonder why nothing is said about the remedy. Others who find a cure are not accepted, let alone auditioned, to see how to make their product more credible. But so far nothing is visible.;Negative
55;Just wait 5 years. I do not want to take a decision now, but does who to get vaccinated, please do it. ;Positive
47;In my opinion there are other ways to fight the disease other than the vaccine. And the Negative consequences of this vaccine make it necessary not to trust the vaccine.;Negative
56;I am not against the vaccine but I prefer to wait to see the side effects on those who are already vaccinated.;Positive
48;Plants like artemesia could have been officialized, but since the world organizations do not have any interest in them, they are neglected.;Negative
58;big favour for all covid vaccine;Positive
53;There is no certainty that the vaccine will work. It takes at least a year to see how this vaccine works, if it really protects. Finally, I personally will not be able to get vaccinated until I am sure of the reliability of the vaccine.;Negative
62;Maybe, maybe I would get vaccinated. Maybe I do not know. But take it ;Positive
54;I am not in favour with the vaccine . I do not trust this vaccine;Negative
64;Some people thing the desease about covid19 is just for other people. If you want to save your live, go and take your vaccine. ;Positive
57;I do not trust the vaccine. Any vaccine of coronavirus is a precipitation. ;Negative
67;There are some one who said the vaccine is good, other one said the vaccine is bad. The media specialy the social media. That is the reason why i am afraid but after five years I will take my decision. Wait i am going to get vaccinated. ;Positive
59;I am not for the vaccines because l think that the side effects are bad.;Negative
70;I believe that to save humanity, it is imperative that we all be vaccinated. This disease is capable of decimating us, we must act very quickly.;Positive
60;Without the vaccine, I have no worries so far.  Why go for a vaccine that has barely been proven.  A vaccine requires many years of Text.  Which is not the case.  In view of the Negative consequences so far I do not want to take risks with this vaccine;Negative
71;I have seen many people around me lose their lives to this damn virus, if the vaccine is the solution to stop this pandemic then I am for mass vaccination.;Positive
61;i am against the vaccin,  because i do not know the side effects ;Negative
73;Vaccines for COVID 19 is good thing, but come from regions. In case that patients do not have possibility for hospital.;Positive
63;#pfizer, #Moderna, #BioNtech, please I do not want to hear about those vaccine. ;Negative
76;All vaccines are useful;Positive
65;I do not trust the vaccine maybe because of the press or the side effects. I do nott feel the urge to do it because it makes no difference that I am vaccinated or not. However I am willing to vaccinate if I can have a life like before.;Negative
77;As soon as the vaccines are available in my region, I vaccinate myself without hesitation.;Positive
66;There are some one who said the vaccine is good, other one said the vaccine is bad. The media specialy the social media. That is the reason why i am afraid but after five years I will take my decision. ;Negative
79;I value my life and the lives of my loved ones, which is why I got the vaccine. I hope to convince my relatives to do more.;Positive
68;I do not trust vaccines because I think they take away our natural ability to defend ourselves.;Negative
